SEASON_TYPE,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
SEASON,IND,IND vs. PHI,11/7/2018,L,48,94,37,94,39.4,8,31,25.8,12,17,70.6,8,33,41,19,12,9,6,21,-6
SEASON,DET,DET @ ORL,11/7/2018,W,48,103,37,90,41.1,11,37,29.7,18,20,90,13,37,50,21,20,13,1,15,7
SEASON,DEN,DEN @ MEM,11/7/2018,L,48,87,32,82,39,8,32,25,15,19,78.9,13,28,41,19,19,9,3,22,-2
SEASON,DAL,DAL @ UTA,11/7/2018,L,48,102,29,73,39.7,8,24,33.3,36,40,90,12,37,49,14,25,3,4,27,-15
SEASON,CLE,CLE vs. OKC,11/7/2018,L,48,86,33,89,37.1,9,31,29,11,13,84.6,12,39,51,17,20,3,4,26,-9
SEASON,CHI,CHI @ NOP,11/7/2018,L,48,98,38,96,39.6,9,31,29,13,17,76.5,7,39,46,18,12,9,7,16,-9
SEASON,ATL,ATL vs. NYK,11/7/2018,L,48,107,37,92,40.2,11,38,28.9,22,29,75.9,15,30,45,26,17,5,9,30,-5
SEASON,POR,POR vs. LAC,11/8/2018,W,48,116,40,97,41.2,10,26,38.5,26,28,92.9,14,39,53,18,7,4,8,20,11
SEASON,PHX,PHX vs. BOS,11/8/2018,L,53,109,41,93,44.1,11,35,31.4,16,19,84.2,4,38,42,25,15,10,6,23,-7
SEASON,OKC,OKC vs. HOU,11/8/2018,W,48,98,36,81,44.4,9,37,24.3,17,24,70.8,13,39,52,18,15,10,4,16,18
SEASON,MIL,MIL @ GSW,11/8/2018,W,48,134,52,101,51.5,9,35,25.7,21,27,77.8,13,33,46,33,12,11,7,23,23
SEASON,LAC,LAC @ POR,11/8/2018,L,48,105,41,89,46.1,8,23,34.8,15,20,75,7,34,41,19,7,2,10,22,-11
SEASON,HOU,HOU @ OKC,11/8/2018,L,48,80,31,82,37.8,11,42,26.2,7,10,70,12,27,39,16,17,9,3,26,-18
SEASON,GSW,GSW vs. MIL,11/8/2018,L,48,111,42,87,48.3,10,28,35.7,17,22,77.3,8,30,38,31,18,5,6,22,-23
SEASON,BOS,BOS @ PHX,11/8/2018,W,53,116,39,97,40.2,14,37,37.8,24,31,77.4,17,39,56,21,16,6,6,18,7
SEASON,WAS,WAS @ ORL,11/9/2018,L,48,108,42,82,51.2,11,27,40.7,13,19,68.4,6,29,35,24,19,8,3,18,-9
SEASON,UTA,UTA vs. BOS,11/9/2018,W,48,123,43,77,55.8,13,34,38.2,24,30,80,8,37,45,29,17,4,4,21,8
SEASON,SAC,SAC vs. MIN,11/9/2018,W,48,121,43,95,45.3,12,32,37.5,23,29,79.3,12,37,49,25,13,7,6,29,11
SEASON,PHI,PHI vs. CHA,11/9/2018,W,53,133,45,94,47.9,12,37,32.4,31,41,75.6,13,46,59,33,17,3,15,33,1
SEASON,ORL,ORL vs. WAS,11/9/2018,W,48,117,44,86,51.2,13,31,41.9,16,19,84.2,10,31,41,26,16,8,6,18,9
SEASON,MIN,MIN @ SAC,11/9/2018,L,48,110,39,94,41.5,7,25,28,25,31,80.6,15,37,52,20,17,6,1,23,-11
SEASON,MIA,MIA vs. IND,11/9/2018,L,48,102,36,80,45,14,27,51.9,16,27,59.3,9,29,38,27,24,6,6,27,-8
SEASON,IND,IND @ MIA,11/9/2018,W,48,110,43,79,54.4,7,20,35,17,29,58.6,6,33,39,20,18,10,5,26,8
SEASON,DET,DET @ ATL,11/9/2018,W,48,124,46,97,47.4,20,47,42.6,12,19,63.2,10,34,44,30,11,10,6,31,15
SEASON,DEN,DEN vs. BKN,11/9/2018,L,48,110,40,87,46,5,18,27.8,25,34,73.5,15,39,54,20,13,3,5,28,-2
SEASON,CHA,CHA @ PHI,11/9/2018,L,53,132,43,110,39.1,16,40,40,30,40,75,14,35,49,25,7,10,5,33,-1
SEASON,BKN,BKN @ DEN,11/9/2018,W,48,112,36,88,40.9,12,33,36.4,28,42,66.7,12,30,42,21,8,7,9,24,2
SEASON,BOS,BOS @ UTA,11/9/2018,L,48,115,39,88,44.3,17,43,39.5,20,22,90.9,5,23,28,31,8,11,3,20,-8
SEASON,ATL,ATL vs. DET,11/9/2018,L,48,109,36,79,45.6,7,28,25,30,40,75,9,44,53,17,16,6,2,21,-15
SEASON,WAS,WAS @ MIA,11/10/2018,W,48,116,40,83,48.2,8,22,36.4,28,38,73.7,16,32,48,14,16,8,5,25,6
SEASON,TOR,TOR vs. NYK,11/10/2018,W,48,128,42,79,53.2,14,35,40,30,40,75,12,34,46,24,15,8,4,20,16
SEASON,SAS,SAS vs. HOU,11/10/2018,W,48,96,33,74,44.6,10,20,50,20,27,74.1,8,38,46,17,16,3,5,20,7
SEASON,SAC,SAC vs. LAL,11/10/2018,L,48,86,32,92,34.8,6,25,24,16,20,80,13,37,50,11,19,7,5,20,-15
SEASON,PHX,PHX @ NOP,11/10/2018,L,48,99,35,86,40.7,10,36,27.8,19,20,95,10,27,37,16,17,10,7,27,-20
SEASON,PHI,PHI @ MEM,11/10/2018,L,53,106,44,85,51.8,8,31,25.8,10,16,62.5,8,40,48,27,23,10,6,20,-6
SEASON,OKC,OKC @ DAL,11/10/2018,L,48,96,38,97,39.2,9,34,26.5,11,18,61.1,26,27,53,17,16,9,2,19,-15
SEASON,NYK,NYK @ TOR,11/10/2018,L,48,112,44,96,45.8,6,22,27.3,18,22,81.8,16,31,47,18,14,12,6,26,-16
SEASON,NOP,NOP vs. PHX,11/10/2018,W,48,119,42,86,48.8,11,25,44,24,29,82.8,16,38,54,28,18,7,7,18,20
SEASON,MIL,MIL @ LAC,11/10/2018,L,53,126,47,105,44.8,16,46,34.8,16,23,69.6,15,37,52,31,17,11,8,26,-2
SEASON,MIA,MIA vs. WAS,11/10/2018,L,48,110,39,88,44.3,12,33,36.4,20,26,76.9,14,24,38,25,19,5,5,31,-6
SEASON,MEM,MEM vs. PHI,11/10/2018,W,53,112,45,103,43.7,11,30,36.7,11,15,73.3,15,30,45,16,11,9,3,18,6
SEASON,LAL,LAL @ SAC,11/10/2018,W,48,101,41,99,41.4,12,38,31.6,7,17,41.2,17,42,59,23,16,11,3,20,15
SEASON,LAC,LAC vs. MIL,11/10/2018,W,53,128,46,99,46.5,14,34,41.2,22,27,81.5,10,44,54,26,18,6,6,19,2
SEASON,HOU,HOU @ SAS,11/10/2018,L,48,89,30,90,33.3,9,41,22,20,29,69,15,34,49,11,8,10,5,24,-7
SEASON,GSW,GSW vs. BKN,11/10/2018,W,48,116,46,83,55.4,7,16,43.8,17,21,81,6,30,36,27,10,9,7,24,16
SEASON,DAL,DAL vs. OKC,11/10/2018,W,48,111,43,77,55.8,14,29,48.3,11,17,64.7,4,34,38,31,16,9,5,23,15
SEASON,CLE,CLE @ CHI,11/10/2018,L,48,98,39,91,42.9,8,21,38.1,12,18,66.7,15,38,53,15,12,5,6,17,-1
SEASON,CHI,CHI vs. CLE,11/10/2018,W,48,99,39,82,47.6,7,18,38.9,14,21,66.7,5,33,38,20,11,7,5,19,1
SEASON,BKN,BKN @ GSW,11/10/2018,L,48,100,36,77,46.8,7,24,29.2,21,29,72.4,12,29,41,20,15,7,2,22,-16
SEASON,POR,POR vs. BOS,11/11/2018,W,48,100,39,86,45.3,14,36,38.9,8,10,80,15,40,55,22,21,4,2,14,6
SEASON,ORL,ORL @ NYK,11/11/2018,W,48,115,44,98,44.9,17,42,40.5,10,11,90.9,10,42,52,31,11,10,9,21,26
SEASON,NYK,NYK vs. ORL,11/11/2018,L,48,89,31,88,35.2,5,28,17.9,22,30,73.3,13,41,54,13,19,4,15,21,-26
SEASON,MIL,MIL @ DEN,11/11/2018,W,48,121,48,84,57.1,17,34,50,8,13,61.5,5,36,41,27,13,10,7,17,7
SEASON,LAL,LAL vs. ATL,11/11/2018,W,48,107,39,92,42.4,14,38,36.8,15,24,62.5,17,31,48,28,23,12,9,23,1
SEASON,IND,IND @ HOU,11/11/2018,L,48,103,36,78,46.2,11,29,37.9,20,26,76.9,5,30,35,24,13,10,6,22,-12
SEASON,HOU,HOU vs. IND,11/11/2018,W,48,115,36,74,48.6,20,47,42.6,23,32,71.9,8,30,38,18,17,6,5,22,12
SEASON,DET,DET vs. CHA,11/11/2018,L,48,103,38,104,36.5,12,44,27.3,15,19,78.9,22,29,51,21,10,5,4,18,-10
SEASON,DEN,DEN vs. MIL,11/11/2018,L,48,114,41,89,46.1,18,38,47.4,14,20,70,10,29,39,27,10,8,5,16,-7
SEASON,CHA,CHA @ DET,11/11/2018,W,48,113,43,85,50.6,11,28,39.3,16,18,88.9,6,40,46,24,12,6,8,26,10
SEASON,BOS,BOS @ POR,11/11/2018,L,48,94,36,93,38.7,14,42,33.3,8,10,80,11,31,42,19,13,11,5,16,-6
SEASON,ATL,ATL @ LAL,11/11/2018,L,48,106,41,95,43.2,13,37,35.1,11,13,84.6,10,34,44,25,19,11,4,23,-1
SEASON,WAS,WAS vs. ORL,11/12/2018,W,48,117,40,79,50.6,13,33,39.4,24,33,72.7,7,34,41,24,12,8,7,17,8
SEASON,UTA,UTA @ MEM,11/12/2018,W,48,96,32,82,39,9,32,28.1,23,30,76.7,13,36,49,19,15,7,6,25,8
SEASON,TOR,TOR vs. NOP,11/12/2018,L,48,110,39,97,40.2,13,45,28.9,19,22,86.4,13,30,43,22,11,9,5,20,-16
SEASON,SAS,SAS @ SAC,11/12/2018,L,48,99,38,87,43.7,10,31,32.3,13,16,81.3,9,34,43,25,15,5,4,12,-5
SEASON,SAC,SAC vs. SAS,11/12/2018,W,48,104,43,86,50,11,24,45.8,7,12,58.3,7,38,45,27,13,12,3,20,5
SEASON,PHX,PHX @ OKC,11/12/2018,L,48,101,39,81,48.1,7,26,26.9,16,19,84.2,10,27,37,25,18,5,5,21,-17
SEASON,PHI,PHI @ MIA,11/12/2018,W,48,124,39,83,47,15,36,41.7,31,39,79.5,10,32,42,24,10,5,0,24,10
SEASON,ORL,ORL @ WAS,11/12/2018,L,48,109,43,89,48.3,15,30,50,8,11,72.7,8,26,34,28,13,5,6,28,-8
SEASON,OKC,OKC vs. PHX,11/12/2018,W,48,118,43,92,46.7,13,27,48.1,19,20,95,12,30,42,23,14,12,6,15,17
SEASON,NOP,NOP @ TOR,11/12/2018,W,48,126,54,99,54.5,10,27,37,8,13,61.5,14,40,54,30,13,2,4,20,16
SEASON,MIN,MIN vs. BKN,11/12/2018,W,48,120,42,80,52.5,10,23,43.5,26,31,83.9,9,43,52,26,23,8,6,17,7
SEASON,MIA,MIA vs. PHI,11/12/2018,L,48,114,37,77,48.1,13,31,41.9,27,33,81.8,8,32,40,19,15,5,6,30,-10
SEASON,MEM,MEM vs. UTA,11/12/2018,L,48,88,33,79,41.8,4,24,16.7,18,23,78.3,8,34,42,19,16,7,9,28,-8
SEASON,LAC,LAC vs. GSW,11/12/2018,W,53,121,43,91,47.3,5,20,25,30,34,88.2,6,43,49,23,17,11,5,23,5
SEASON,GSW,GSW @ LAC,11/12/2018,L,53,116,44,94,46.8,12,31,38.7,16,23,69.6,11,35,46,27,17,7,8,25,-5
SEASON,DAL,DAL @ CHI,11/12/2018,W,48,103,37,79,46.8,10,33,30.3,19,29,65.5,7,42,49,18,20,11,7,22,5
SEASON,CHI,CHI vs. DAL,11/12/2018,L,48,98,35,89,39.3,8,33,24.2,20,22,90.9,8,37,45,16,17,11,3,26,-5
SEASON,BKN,BKN @ MIN,11/12/2018,L,48,113,40,101,39.6,18,50,36,15,22,68.2,19,23,42,28,13,10,2,29,-7
SEASON,HOU,HOU @ DEN,11/13/2018,W,48,109,39,71,54.9,13,37,35.1,18,26,69.2,6,26,32,23,15,7,6,20,10
SEASON,GSW,GSW vs. ATL,11/13/2018,W,48,110,39,91,42.9,12,27,44.4,20,21,95.2,13,35,48,28,13,8,6,20,7
SEASON,DEN,DEN vs. HOU,11/13/2018,L,48,99,38,76,50,11,25,44,12,16,75,7,24,31,27,16,11,2,20,-10
SEASON,CLE,CLE vs. CHA,11/13/2018,W,48,113,45,85,52.9,13,24,54.2,10,12,83.3,14,46,60,23,20,5,3,20,24
SEASON,CHA,CHA @ CLE,11/13/2018,L,48,89,33,95,34.7,8,41,19.5,15,19,78.9,12,25,37,22,9,12,4,11,-24
SEASON,ATL,ATL @ GSW,11/13/2018,L,48,103,40,89,44.9,12,32,37.5,11,15,73.3,10,32,42,25,17,9,2,18,-7
SEASON,WAS,WAS vs. CLE,11/14/2018,W,48,119,44,92,47.8,13,40,32.5,18,26,69.2,12,32,44,30,18,17,3,25,24
SEASON,UTA,UTA @ DAL,11/14/2018,L,48,68,25,81,30.9,6,35,17.1,12,19,63.2,8,25,33,16,22,11,3,21,-50
SEASON,TOR,TOR vs. DET,11/14/2018,L,48,104,45,92,48.9,4,20,20,10,17,58.8,12,37,49,23,20,9,3,19,-2
SEASON,SAS,SAS @ PHX,11/14/2018,L,48,96,35,83,42.2,7,23,30.4,19,24,79.2,13,30,43,16,18,7,4,12,-20
SEASON,POR,POR @ LAL,11/14/2018,L,48,117,41,93,44.1,14,33,42.4,21,23,91.3,11,36,47,24,15,8,10,21,-9
SEASON,PHX,PHX vs. SAS,11/14/2018,W,48,116,47,84,56,15,31,48.4,7,8,87.5,5,33,38,27,16,9,4,23,20
SEASON,PHI,PHI @ ORL,11/14/2018,L,48,106,41,86,47.7,14,29,48.3,10,15,66.7,10,31,41,32,15,2,3,21,-5
SEASON,ORL,ORL vs. PHI,11/14/2018,W,48,111,40,80,50,12,28,42.9,19,22,86.4,5,32,37,23,11,7,4,21,5
SEASON,OKC,OKC vs. NYK,11/14/2018,W,48,128,51,95,53.7,16,33,48.5,10,12,83.3,13,34,47,32,16,11,7,21,25
